종목코드,종목명,종가,대비,등락률,상장시가총액
"204320","만도","62100","-1400","-2.20","2916037.0"
"026960","동서","30100","-100","-0.33","3000970.0"
"030000","제일기획","24900","-350","-1.39","2864527.0"
"000990","DB하이텍","60400","-1800","-2.89","2681675.0"
"002380","KCC","320500","-7500","-2.29","2848114.0"
"004170","신세계","275000","-3500","-1.26","2707425.0"
"007070","GS리테일","36850","-400","-1.07","2837450.0"
"010060","OCI","116500","-3000","-2.51","2778452.0"
"014680","한솔케미칼","237500","-6000","-2.46","2692109.0"
"064350","현대로템","23550","-750","-3.09","2570301.0"
"012450","한화에어로스페이스","51000","-3500","-6.42","2582130.0"
"009240","한샘","106000","-1500","-1.40","2494596.0"
"001440","대한전선","2905","-110","-3.65","2488054.0"
"000080","하이트진로","35550","-400","-1.11","2493250.0"
"011210","현대위아","90300","-6300","-6.52","2455716.0"
"000880","한화","30750","-450","-1.44","2304981.0"
"138930","BNK금융지주","7460","-70","-0.93","2431477.0"
"294870","HDC현대산업개발","31900","-900","-2.74","2102444.0"
"298050","효성첨단소재","490500","3500","0.72","2197414.0"
"006260","LS","69600","400","0.58","2241120.0"
"004800","효성","105000","3000","2.94","2212458.0"
"003090","대웅","38400","-1650","-4.12","2232652.0"
"001450","현대해상","25500","200","0.79","2279700.0"
"120110","코오롱인더","79200","-1200","-1.49","2136724.0"
"001230","동국제강","21750","300","1.40","2075662.0"
"073240","금호타이어","6880","-390","-5.36","1976351.0"
"017800","현대엘리베이","50700","-1300","-2.50","2069330.0"
"051600","한전KPS","42200","-1200","-2.76","1899000.0"
"052690","한전기술","53000","-1400","-2.57","2025660.0"
"007310","오뚜기","535000","-4000","-0.74","1964510.0"
"069960","현대백화점","81600","-1900","-2.28","1909639.0"
"004370","농심","311000","-3000","-0.96","1891702.0"
"000240","한국앤컴퍼니","19000","-350","-1.81","1803770.0"
"010780","아이에스동서","58500","-900","-1.52","1807217.0"
"111770","영원무역","42000","-300","-0.71","1861082.0"
"016380","KG동부제철","17300","100","0.58","1730154.0"
"004000","롯데정밀화학","66700","-2000","-2.91","1720860.0"
"069620","대웅제약","161000","-1500","-0.92","1865439.0"
"010120","LS ELECTRIC","55900","-500","-0.89","1677000.0"
"013890","지누스","103500","-2500","-2.36","1635347.0"
"005250","녹십자홀딩스","33950","-650","-1.88","1596608.0"
"192820","코스맥스","133500","-2500","-1.84","1515159.0"
"000150","두산","100500","-4000","-3.83","1660645.0"
"000210","DL","79200","-100","-0.13","1659706.0"
"185750","종근당","134000","-2500","-1.83","1531097.0"
"001740","SK네트웍스","5960","80","1.36","1479198.0"
"003000","부광약품","20550","0","0.00","1460346.0"
"214320","이노션","64600","-1400","-2.12","1292000.0"
"031430","신세계인터내셔날","200000","2000","1.01","1428000.0"
"004490","세방전지","93200","-2700","-2.82","1304800.0"
"032350","롯데관광개발","19600","-300","-1.51","1357803.0"
"006650","대한유화","228500","-3000","-1.30","1485250.0"
"000670","영풍","641000","-3000","-0.47","1180748.0"
"001120","LG상사","31550","50","0.16","1222878.0"
"003240","태광산업","1103000","-35000","-3.08","1228080.0"
"003850","보령제약","22650","-500","-2.16","1180518.0"
"005300","롯데칠성","139500","-2000","-1.41","1252030.0"
"009420","한올바이오파마","21700","-400","-1.81","1133622.0"
"014820","동원시스템즈","42700","-950","-2.18","1093910.0"
"020560","아시아나항공","17200","0","0.00","1279882.0"
"161890","한국콜마","55700","-1700","-2.96","1274482.0"
"192080","더블유게임즈","61000","0","0.00","1120845.0"
"000070","삼양홀딩스","105000","-2000","-1.87","899248.0"
"057050","현대홈쇼핑","90700","300","0.33","1088400.0"
"284740","쿠쿠홈시스","44000","-350","-0.79","987243.0"
"241590","화승엔터프라이즈","17100","-250","-1.44","1035472.0"
"114090","GKL","16600","-50","-0.30","1026804.0"
"108670","LG하우시스","105500","-4000","-3.65","946089.0"
"105630","한세실업","22500","-200","-0.88","900000.0"
"103140","풍산","37750","150","0.40","1057916.0"
"093370","후성","11100","500","4.72","1027936.0"
"079550","LIG넥스원","42650","-1500","-3.40","938300.0"
"001680","대상","27050","-250","-0.92","937229.0"
"001800","오리온홀딩스","16350","-200","-1.21","1024253.0"
"002350","넥센타이어","9520","-210","-2.16","929798.0"
"003520","영진약품","5890","-130","-2.16","1077238.0"
"005440","현대그린푸드","10200","-100","-0.97","996586.0"
"006040","동원산업","254500","-3500","-1.36","935960.0"
"006120","SK디스커버리","51000","-1100","-2.11","970931.0"
"020000","한섬","40250","-50","-0.12","991358.0"
"064960","SNT모티브","66800","-1600","-2.34","976825.0"
"069260","휴켐스","23100","-150","-0.65","944295.0"
"079160","CJ CGV","29800","-300","-1.00","1045980.0"
"007570","일양약품","37100","-450","-1.20","708078.0"
"192400","쿠쿠홀딩스","119000","-2000","-1.65","846380.0"
"383800","LX홀딩스","10850","-150","-1.36","827645.0"
"049770","동원F&B","225500","3000","1.35","870232.0"
"115390","락앤락","13850","-200","-1.42","734156.0"
"071840","롯데하이마트","34450","-700","-1.99","813286.0"
"001060","JW중외제약","30650","-500","-1.61","660199.0"
"003230","삼양식품","90000","-1000","-1.10","677971.0"
"007700","F&F홀딩스","37050","-300","-0.80","286715.0"
